ASV ID,B_1,B_2,B_3,B_4,B_5,B_6,L1,L2,L3,L4,L5,L6,L_10,L_11,L_12,L_13,L_14,L_15,R1,R2,R3,R4,R5,R6,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,R_10,R_11,R_12,R_13,R_14,R_15,S1,S2,S3,S4,S5,S6,S_10,S_11,S_12,S_13,S_14,S_15,taxonomy
ASV174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,0,1,2,0,0,16,8,0,14,0,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__unclassified_p__Basidiomycota;o__unclassified_p__Basidiomycota;f__unclassified_p__Basidiomycota;g__unclassified_p__Basidiomycota;s__Basidiomycota_sp
ASV2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_yunnanense
ASV685,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,21,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Panaeolus;s__unclassified_g__Panaeolus
ASV182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,15,12,13,0,0,0,10,0,0,7,0,0,8,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__Fungi_sp
ASV191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,2,41,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Dactylella;s__Dactylella_lysipaga
ASV165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,13,0,5,10,26,11,1,0,8,0,0,0,0,0,0,0,0,0,6,0,0,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__Fungi_sp
ASV1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Tremellodendropsidales;f__unclassified_o__Tremellodendropsidales;g__unclassified_o__Tremellodendropsidales;s__Tremellodendropsidales_sp
ASV1322,0,0,4,0,0,0,0,0,0,0,0,0,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_paraflava
ASV1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,60,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__unclassified_k__Fungi
ASV466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_acetilerea
ASV1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__unclassified_g__Didymella
ASV970,0,0,0,0,0,0,4,3,2,4,0,0,20,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Microdochiaceae;g__Microdochium;s__unclassified_g__Microdochium
ASV572,0,0,3,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,21,19,17,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__unclassified_k__Fungi
ASV397,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__unclassified_g__Bipolaris
ASV2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_hasegawianum
ASV711,0,0,0,0,0,0,1,0,0,5,2,3,19,11,46,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta;s__Neoascochyta_sp
ASV109,3,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,10,5,17,4,9,0,5,6,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__unclassified_g__Solicoccozyma
ASV834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,40,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__unclassified_k__Fungi
ASV83,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,25,0,7,30,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota;k__Fungi;p__Chytridiomycota;c__unclassified_p__Chytridiomycota;o__unclassified_p__Chytridiomycota;f__unclassified_p__Chytridiomycota;g__unclassified_p__Chytridiomycota;s__unclassified_p__Chytridiomycota
